sample_id,task_id,domain,model,condition,s_ICMw_A,s_ICMw_B,s_ICMw,f_ICMw_A,f_ICMw_B,f_ICMw,Ddrift_A,Ddrift_B,Ddrift,Split,adjudication_note
BZ01__FULL__closed_global_strong,BZ01,business,GPT-4o (laozhang.ai),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
BZ01__FULL__commercial_cn_deepseek,BZ01,business,DeepSeek-chat,FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
BZ01__FULL__open_weight_qwen_main,BZ01,business,Qwen3-8B (ollama),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
BZ01__PRIV-ABSENT__closed_global_strong,BZ01,business,GPT-4o (laozhang.ai),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
BZ01__PRIV-ABSENT__commercial_cn_deepseek,BZ01,business,DeepSeek-chat,PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
BZ01__PRIV-ABSENT__open_weight_qwen_main,BZ01,business,Qwen3-8B (ollama),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
BZ01__PUB-ABSENT__closed_global_strong,BZ01,business,GPT-4o (laozhang.ai),PUB-ABSENT,1.0,0.9,0.9,0.9,0.8,0.9,0.1,0.2,0.2,0.0,auto_avg
BZ01__PUB-ABSENT__commercial_cn_deepseek,BZ01,business,DeepSeek-chat,PUB-ABSENT,1.0,1.0,1.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1,auto_avg
BZ01__PUB-ABSENT__open_weight_qwen_main,BZ01,business,Qwen3-8B (ollama),PUB-ABSENT,1.0,0.9,0.9,0.9,0.8,0.9,0.1,0.2,0.2,0.0,auto_avg
BZ02__FULL__closed_global_strong,BZ02,business,GPT-4o (laozhang.ai),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
BZ02__FULL__commercial_cn_deepseek,BZ02,business,DeepSeek-chat,FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
BZ02__FULL__open_weight_qwen_main,BZ02,business,Qwen3-8B (ollama),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
BZ02__PRIV-ABSENT__closed_global_strong,BZ02,business,GPT-4o (laozhang.ai),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
BZ02__PRIV-ABSENT__commercial_cn_deepseek,BZ02,business,DeepSeek-chat,PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
BZ02__PRIV-ABSENT__open_weight_qwen_main,BZ02,business,Qwen3-8B (ollama),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
BZ02__PUB-ABSENT__closed_global_strong,BZ02,business,GPT-4o (laozhang.ai),PUB-ABSENT,1.0,1.0,1.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1,auto_avg
BZ02__PUB-ABSENT__commercial_cn_deepseek,BZ02,business,DeepSeek-chat,PUB-ABSENT,1.0,0.9,0.9,0.9,0.8,0.9,0.1,0.2,0.2,0.0,auto_avg
BZ02__PUB-ABSENT__open_weight_qwen_main,BZ02,business,Qwen3-8B (ollama),PUB-ABSENT,1.0,0.9,0.9,0.9,0.8,0.9,0.1,0.2,0.2,0.0,auto_avg
BZ05__FULL__closed_global_strong,BZ05,business,GPT-4o (laozhang.ai),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
BZ05__FULL__commercial_cn_deepseek,BZ05,business,DeepSeek-chat,FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
BZ05__FULL__open_weight_qwen_main,BZ05,business,Qwen3-8B (ollama),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
BZ05__PRIV-ABSENT__closed_global_strong,BZ05,business,GPT-4o (laozhang.ai),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
BZ05__PRIV-ABSENT__commercial_cn_deepseek,BZ05,business,DeepSeek-chat,PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
BZ05__PRIV-ABSENT__open_weight_qwen_main,BZ05,business,Qwen3-8B (ollama),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
BZ05__PUB-ABSENT__closed_global_strong,BZ05,business,GPT-4o (laozhang.ai),PUB-ABSENT,1.0,1.0,1.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1,auto_avg
BZ05__PUB-ABSENT__commercial_cn_deepseek,BZ05,business,DeepSeek-chat,PUB-ABSENT,1.0,1.0,1.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1,auto_avg
BZ05__PUB-ABSENT__open_weight_qwen_main,BZ05,business,Qwen3-8B (ollama),PUB-ABSENT,1.0,1.0,1.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1,auto_avg
BZ09__FULL__closed_global_strong,BZ09,business,GPT-4o (laozhang.ai),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
BZ09__FULL__commercial_cn_deepseek,BZ09,business,DeepSeek-chat,FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
BZ09__FULL__open_weight_qwen_main,BZ09,business,Qwen3-8B (ollama),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
BZ09__PRIV-ABSENT__closed_global_strong,BZ09,business,GPT-4o (laozhang.ai),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
BZ09__PRIV-ABSENT__commercial_cn_deepseek,BZ09,business,DeepSeek-chat,PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
BZ09__PRIV-ABSENT__open_weight_qwen_main,BZ09,business,Qwen3-8B (ollama),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
BZ09__PUB-ABSENT__closed_global_strong,BZ09,business,GPT-4o (laozhang.ai),PUB-ABSENT,1.0,0.9,0.9,0.9,0.8,0.9,0.1,0.2,0.2,0.0,auto_avg
BZ09__PUB-ABSENT__commercial_cn_deepseek,BZ09,business,DeepSeek-chat,PUB-ABSENT,1.0,1.0,1.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1,auto_avg
BZ09__PUB-ABSENT__open_weight_qwen_main,BZ09,business,Qwen3-8B (ollama),PUB-ABSENT,1.0,1.0,1.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1,auto_avg
TC01__FULL__closed_global_strong,TC01,technical,GPT-4o (laozhang.ai),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TC01__FULL__commercial_cn_deepseek,TC01,technical,DeepSeek-chat,FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TC01__FULL__open_weight_qwen_main,TC01,technical,Qwen3-8B (ollama),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TC01__PRIV-ABSENT__closed_global_strong,TC01,technical,GPT-4o (laozhang.ai),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TC01__PRIV-ABSENT__commercial_cn_deepseek,TC01,technical,DeepSeek-chat,PRIV-ABSENT,1.0,1.0,1.0,0.6,0.6,0.6,0.4,0.4,0.4,0.4,auto_avg
TC01__PRIV-ABSENT__open_weight_qwen_main,TC01,technical,Qwen3-8B (ollama),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TC01__PUB-ABSENT__closed_global_strong,TC01,technical,GPT-4o (laozhang.ai),PUB-ABSENT,1.0,0.9,0.9,0.9,0.8,0.9,0.1,0.2,0.2,0.0,auto_avg
TC01__PUB-ABSENT__commercial_cn_deepseek,TC01,technical,DeepSeek-chat,PUB-ABSENT,1.0,1.0,1.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1,auto_avg
TC01__PUB-ABSENT__open_weight_qwen_main,TC01,technical,Qwen3-8B (ollama),PUB-ABSENT,1.0,1.0,1.0,0.8,0.9,0.9,0.2,0.1,0.2,0.1,auto_avg
TC02__FULL__closed_global_strong,TC02,technical,GPT-4o (laozhang.ai),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TC02__FULL__commercial_cn_deepseek,TC02,technical,DeepSeek-chat,FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TC02__FULL__open_weight_qwen_main,TC02,technical,Qwen3-8B (ollama),FULL,1.0,1.0,1.0,1.0,0.9,0.9,0.0,0.1,0.1,0.1,auto_avg
TC02__PRIV-ABSENT__closed_global_strong,TC02,technical,GPT-4o (laozhang.ai),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TC02__PRIV-ABSENT__commercial_cn_deepseek,TC02,technical,DeepSeek-chat,PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TC02__PRIV-ABSENT__open_weight_qwen_main,TC02,technical,Qwen3-8B (ollama),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TC02__PUB-ABSENT__closed_global_strong,TC02,technical,GPT-4o (laozhang.ai),PUB-ABSENT,1.0,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.0,auto_avg
TC02__PUB-ABSENT__commercial_cn_deepseek,TC02,technical,DeepSeek-chat,PUB-ABSENT,0.9,0.4,0.7,0.8,0.6,0.7,0.1,0.5,0.3,0.0,large_diff_0.5_auto_avg
TC02__PUB-ABSENT__open_weight_qwen_main,TC02,technical,Qwen3-8B (ollama),PUB-ABSENT,0.8,0.6,0.7,0.7,0.7,0.7,0.2,0.3,0.2,0.0,large_diff_0.2_auto_avg
TC08__FULL__closed_global_strong,TC08,technical,GPT-4o (laozhang.ai),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TC08__FULL__commercial_cn_deepseek,TC08,technical,DeepSeek-chat,FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TC08__FULL__open_weight_qwen_main,TC08,technical,Qwen3-8B (ollama),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TC08__PRIV-ABSENT__closed_global_strong,TC08,technical,GPT-4o (laozhang.ai),PRIV-ABSENT,1.0,1.0,1.0,0.6,0.6,0.6,0.4,0.4,0.4,0.4,auto_avg
TC08__PRIV-ABSENT__commercial_cn_deepseek,TC08,technical,DeepSeek-chat,PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TC08__PRIV-ABSENT__open_weight_qwen_main,TC08,technical,Qwen3-8B (ollama),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TC08__PUB-ABSENT__closed_global_strong,TC08,technical,GPT-4o (laozhang.ai),PUB-ABSENT,1.0,0.9,0.9,0.9,0.6,0.8,0.1,0.4,0.2,0.1,large_diff_0.3_auto_avg
TC08__PUB-ABSENT__commercial_cn_deepseek,TC08,technical,DeepSeek-chat,PUB-ABSENT,1.0,0.8,0.9,0.8,0.8,0.8,0.2,0.2,0.2,0.1,auto_avg
TC08__PUB-ABSENT__open_weight_qwen_main,TC08,technical,Qwen3-8B (ollama),PUB-ABSENT,1.0,0.6,0.8,0.8,0.5,0.7,0.2,0.4,0.3,0.1,large_diff_0.4_auto_avg
TC10__FULL__closed_global_strong,TC10,technical,GPT-4o (laozhang.ai),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TC10__FULL__commercial_cn_deepseek,TC10,technical,DeepSeek-chat,FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TC10__FULL__open_weight_qwen_main,TC10,technical,Qwen3-8B (ollama),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TC10__PRIV-ABSENT__closed_global_strong,TC10,technical,GPT-4o (laozhang.ai),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TC10__PRIV-ABSENT__commercial_cn_deepseek,TC10,technical,DeepSeek-chat,PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TC10__PRIV-ABSENT__open_weight_qwen_main,TC10,technical,Qwen3-8B (ollama),PRIV-ABSENT,1.0,0.8,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TC10__PUB-ABSENT__closed_global_strong,TC10,technical,GPT-4o (laozhang.ai),PUB-ABSENT,1.0,1.0,1.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1,auto_avg
TC10__PUB-ABSENT__commercial_cn_deepseek,TC10,technical,DeepSeek-chat,PUB-ABSENT,1.0,1.0,1.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1,auto_avg
TC10__PUB-ABSENT__open_weight_qwen_main,TC10,technical,Qwen3-8B (ollama),PUB-ABSENT,1.0,0.9,0.9,0.8,0.9,0.9,0.2,0.1,0.2,0.0,auto_avg
TR01__FULL__closed_global_strong,TR01,travel,GPT-4o (laozhang.ai),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TR01__FULL__commercial_cn_deepseek,TR01,travel,DeepSeek-chat,FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TR01__FULL__open_weight_qwen_main,TR01,travel,Qwen3-8B (ollama),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TR01__PRIV-ABSENT__closed_global_strong,TR01,travel,GPT-4o (laozhang.ai),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TR01__PRIV-ABSENT__commercial_cn_deepseek,TR01,travel,DeepSeek-chat,PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TR01__PRIV-ABSENT__open_weight_qwen_main,TR01,travel,Qwen3-8B (ollama),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TR01__PUB-ABSENT__closed_global_strong,TR01,travel,GPT-4o (laozhang.ai),PUB-ABSENT,1.0,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.0,auto_avg
TR01__PUB-ABSENT__commercial_cn_deepseek,TR01,travel,DeepSeek-chat,PUB-ABSENT,1.0,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.0,auto_avg
TR01__PUB-ABSENT__open_weight_qwen_main,TR01,travel,Qwen3-8B (ollama),PUB-ABSENT,1.0,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.0,auto_avg
TR02__FULL__closed_global_strong,TR02,travel,GPT-4o (laozhang.ai),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TR02__FULL__commercial_cn_deepseek,TR02,travel,DeepSeek-chat,FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TR02__FULL__open_weight_qwen_main,TR02,travel,Qwen3-8B (ollama),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TR02__PRIV-ABSENT__closed_global_strong,TR02,travel,GPT-4o (laozhang.ai),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TR02__PRIV-ABSENT__commercial_cn_deepseek,TR02,travel,DeepSeek-chat,PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TR02__PRIV-ABSENT__open_weight_qwen_main,TR02,travel,Qwen3-8B (ollama),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TR02__PUB-ABSENT__closed_global_strong,TR02,travel,GPT-4o (laozhang.ai),PUB-ABSENT,1.0,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.0,auto_avg
TR02__PUB-ABSENT__commercial_cn_deepseek,TR02,travel,DeepSeek-chat,PUB-ABSENT,1.0,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.0,auto_avg
TR02__PUB-ABSENT__open_weight_qwen_main,TR02,travel,Qwen3-8B (ollama),PUB-ABSENT,1.0,1.0,1.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1,auto_avg
TR05__FULL__closed_global_strong,TR05,travel,GPT-4o (laozhang.ai),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TR05__FULL__commercial_cn_deepseek,TR05,travel,DeepSeek-chat,FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TR05__FULL__open_weight_qwen_main,TR05,travel,Qwen3-8B (ollama),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TR05__PRIV-ABSENT__closed_global_strong,TR05,travel,GPT-4o (laozhang.ai),PRIV-ABSENT,1.0,0.9,0.9,0.5,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TR05__PRIV-ABSENT__commercial_cn_deepseek,TR05,travel,DeepSeek-chat,PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TR05__PRIV-ABSENT__open_weight_qwen_main,TR05,travel,Qwen3-8B (ollama),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TR05__PUB-ABSENT__closed_global_strong,TR05,travel,GPT-4o (laozhang.ai),PUB-ABSENT,1.0,1.0,1.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1,auto_avg
TR05__PUB-ABSENT__commercial_cn_deepseek,TR05,travel,DeepSeek-chat,PUB-ABSENT,1.0,1.0,1.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1,auto_avg
TR05__PUB-ABSENT__open_weight_qwen_main,TR05,travel,Qwen3-8B (ollama),PUB-ABSENT,1.0,1.0,1.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1,auto_avg
TR08__FULL__closed_global_strong,TR08,travel,GPT-4o (laozhang.ai),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TR08__FULL__commercial_cn_deepseek,TR08,travel,DeepSeek-chat,FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TR08__FULL__open_weight_qwen_main,TR08,travel,Qwen3-8B (ollama),FULL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,auto_avg
TR08__PRIV-ABSENT__closed_global_strong,TR08,travel,GPT-4o (laozhang.ai),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TR08__PRIV-ABSENT__commercial_cn_deepseek,TR08,travel,DeepSeek-chat,PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TR08__PRIV-ABSENT__open_weight_qwen_main,TR08,travel,Qwen3-8B (ollama),PRIV-ABSENT,1.0,0.9,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.3,auto_avg
TR08__PUB-ABSENT__closed_global_strong,TR08,travel,GPT-4o (laozhang.ai),PUB-ABSENT,1.0,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.0,auto_avg
TR08__PUB-ABSENT__commercial_cn_deepseek,TR08,travel,DeepSeek-chat,PUB-ABSENT,1.0,1.0,1.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1,auto_avg
TR08__PUB-ABSENT__open_weight_qwen_main,TR08,travel,Qwen3-8B (ollama),PUB-ABSENT,1.0,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.0,auto_avg
